Groups:
alt_iplrom:iplrom|address =, alt_iplrom:iplrom|address[4], alt_iplrom:iplrom|address[3], alt_iplrom:iplrom|address[2], alt_iplrom:iplrom|address[1], alt_iplrom:iplrom|address[0],  hex
alt_iplrom:iplrom|q =, alt_iplrom:iplrom|q[7], alt_iplrom:iplrom|q[6], alt_iplrom:iplrom|q[5], alt_iplrom:iplrom|q[4], alt_iplrom:iplrom|q[3], alt_iplrom:iplrom|q[2], alt_iplrom:iplrom|q[1], alt_iplrom:iplrom|q[0],  hex
fz80:Z80|adr =, fz80:Z80|adr[15], fz80:Z80|adr[14], fz80:Z80|adr[13], fz80:Z80|adr[12], fz80:Z80|adr[11], fz80:Z80|adr[10], fz80:Z80|adr[9], fz80:Z80|adr[8], fz80:Z80|adr[7], fz80:Z80|adr[6], fz80:Z80|adr[5], fz80:Z80|adr[4], fz80:Z80|adr[3], fz80:Z80|adr[2], fz80:Z80|adr[1], fz80:Z80|adr[0],  hex
fz80:Z80|data_in =, fz80:Z80|data_in[7], fz80:Z80|data_in[6], fz80:Z80|data_in[5], fz80:Z80|data_in[4], fz80:Z80|data_in[3], fz80:Z80|data_in[2], fz80:Z80|data_in[1], fz80:Z80|data_in[0],  hex
fz80:Z80|data_out =, fz80:Z80|data_out[7], fz80:Z80|data_out[6], fz80:Z80|data_out[5], fz80:Z80|data_out[4], fz80:Z80|data_out[3], fz80:Z80|data_out[2], fz80:Z80|data_out[1], fz80:Z80|data_out[0],  hex

Data:
time unit: ms, alt_iplrom:iplrom|address, alt_iplrom:iplrom|address[4], alt_iplrom:iplrom|address[3], alt_iplrom:iplrom|address[2], alt_iplrom:iplrom|address[1], alt_iplrom:iplrom|address[0], alt_iplrom:iplrom|clock, alt_iplrom:iplrom|q, alt_iplrom:iplrom|q[7], alt_iplrom:iplrom|q[6], alt_iplrom:iplrom|q[5], alt_iplrom:iplrom|q[4], alt_iplrom:iplrom|q[3], alt_iplrom:iplrom|q[2], alt_iplrom:iplrom|q[1], alt_iplrom:iplrom|q[0], fz80:Z80|reset_in, fz80:Z80|iorq, fz80:Z80|adr, fz80:Z80|adr[15], fz80:Z80|adr[14], fz80:Z80|adr[13], fz80:Z80|adr[12], fz80:Z80|adr[11], fz80:Z80|adr[10], fz80:Z80|adr[9], fz80:Z80|adr[8], fz80:Z80|adr[7], fz80:Z80|adr[6], fz80:Z80|adr[5], fz80:Z80|adr[4], fz80:Z80|adr[3], fz80:Z80|adr[2], fz80:Z80|adr[1], fz80:Z80|adr[0], fz80:Z80|data_in, fz80:Z80|data_in[7], fz80:Z80|data_in[6], fz80:Z80|data_in[5], fz80:Z80|data_in[4], fz80:Z80|data_in[3], fz80:Z80|data_in[2], fz80:Z80|data_in[1], fz80:Z80|data_in[0], fz80:Z80|data_out, fz80:Z80|data_out[7], fz80:Z80|data_out[6], fz80:Z80|data_out[5], fz80:Z80|data_out[4], fz80:Z80|data_out[3], fz80:Z80|data_out[2], fz80:Z80|data_out[1], fz80:Z80|data_out[0], 
0, XX, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, 
1, 16, 1, 0, 1, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
2, 16, 1, 0, 1, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
3, 16, 1, 0, 1, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
4, 16, 1, 0, 1, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
5, 16, 1, 0, 1, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
6, 16, 1, 0, 1, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
7, 16, 1, 0, 1, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
8, 16, 1, 0, 1, 1, 0, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
9, 16, 1, 0, 1, 1, 0, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, FB, 1, 1, 1, 1, 1, 0, 1, 1, FB, 1, 1, 1, 1, 1, 0, 1, 1, 
